business_id,full_address,city,review_count,name,longitude,stars,latitude,sno
5UmKMjUEUNdYWqANhGckJw,"4734 Lebanon Church Rd
Dravosburg, PA 15034",Dravosburg,4,Mr Hoagie,-79.9007057,4.5,40.3543266,1
UsFtqoBl7naz8AVUBZMjQQ,"202 McClure St
Dravosburg, PA 15034",Dravosburg,4,Clancy's Pub,-79.8868138,3.5,40.3505527,2
3eu6MEFlq2Dg7bQh8QbdOg,"1 Ravine St
Dravosburg, PA 15034",Dravosburg,3,Joe Cislo's Auto,-79.889059,5,40.3509559,3
cE27W9VPgO88Qxe4ol6y_g,"1530 Hamilton Rd
Bethel Park, PA 15234",Bethel Park,5,Cool Springs Golf Center,-80.0146597,2.5,40.3541155,4
HZdLhv6COCleJMo7nPl-RA,"301 South Hills Village
Pittsburgh, PA 15241",Pittsburgh,5,Verizon,-80.05998,2.5,40.35762,5
mVHrayjG3uZ_RLHkLj-AMg,"414 Hawkins Ave
rankin, PA 15104",rankin,20,Emil's Lounge,-79.8802474,5,40.4134643,6
VHYT1qgQw5JvXAlUDhTArA,"2101 Greentree Rd Ste B201
Pittsburgh, PA 15220",Pittsburgh,3,Extreme Fitness 2,-80.0708968,2.5,40.3903858,7
KayYbHCt-RkbGcPdGOThNg,"141 Hawthorne St
Greentree
Carnegie, PA 15106",Carnegie,21,Alexion's Bar & Grill,-80.067534,4,40.415517,8
b12U9TFESStdy7CsTtcOeg,"718A Hope Hollow Rd
Carnegie, PA 15106",Carnegie,7,Flynn's Tire And Auto Service,-80.0844539,2.5,40.394588,9
Sktj1eHQFuVa-M4bgnEh8g,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",Carnegie,4,Forsythe Miniature Golf & Snacks,-80.0762665,4,40.4054039,10
3ZVKmuK2l7uXPE6lXY4Dbg,"8 Logan St
Carnegie
Carnegie, PA 15106",Carnegie,3,Quaker State Construction,-80.0903575,2.5,40.406323,11
QoDa50dc7g62xciFygXB9w,"2080 Greentree Rd
Pittsburgh, PA 15220",Pittsburgh,5,Greentree Animal Clinic,-80.0691338,4,40.3922071,12
1_lU0-eSWJCRvNGk78Zh9Q,"300 Beechwood Ave
Carnegie
Carnegie, PA 15106",Carnegie,3,Carnegie Free Library,-80.0858661,4.5,40.4068423,13
_qopVQ6_Mz6W7-Pmbi56GQ,"1011 Washington Ave
Carnegie, PA 15106",Carnegie,3,Advance Auto Parts,-80.0824517,3.5,40.3983526,14
wJr6kSA5dchdgOdwH6dZ2w,"2100 Washington Pike
Carnegie, PA 15106",Carnegie,8,Kings Family Restaurant,-80.0932152,3.5,40.3875124,15
yXuao0pFz1AxB21vJjDf5w,"2100 Washington Pike
Carnegie, PA 15106",Carnegie,4,Shop N' Save,-80.0932152,4,40.3875124,16
F04xyOUA2xnUoCiWpx9iJA,"Bower Hill Rd & Vanadium Rd
Carnegie, PA 15106",Carnegie,3,Rossi Tailoring & Cleaners,-80.08435366,3,40.36882468,17
Cdcus0NADzyY3XiJM2O5Sg,"1927 E Railroad St
Carnegie, PA 15106",Carnegie,4,Heidelberg B P,-80.089241,3,40.388284,18
fNGIbpazjTRdXgwRY_NIXA,"1201 Washington Ave
Carnegie, PA 15106",Carnegie,7,Rocky's Lounge,-80.0849416,4,40.3964688,19
b9WZJp5L1RZr4F1nxclOoQ,"1073 Washington Ave
Carnegie, PA 15106",Carnegie,58,Gab & Eat,-80.0833859,4.5,40.3980741,20
zaXDakTd3RXyOa7sMrUE1g,"202 3rd Ave
Carnegie
Carnegie, PA 15106",Carnegie,6,Barb's Country Junction Cafe,-80.089985,3.5,40.404638,21
zgy27FSnvwdINfk5cXBIyQ,"520 North Bell Avenue
Carnegie
Carnegie, PA 15106",Carnegie,7,Extended Stay America - Pittsburgh - Carnegie,-80.088557,3.5,40.417419,22
WETE_LykpcnrC1sFcQ5EGg,"215 E Main St
Carnegie
Carnegie, PA 15106",Carnegie,7,Paddy's Pour House,-80.085279,3,40.40867,23
6o3RK6rTcN3nw-j-r2nQmA,"231 E Main St
Carnegie
Carnegie, PA 15106",Carnegie,4,Porto Fino Pizzaria & Gyro,-80.0848871,2.5,40.4088068,24
woOVJ0Z2f6XNCDntHA3b_g,"117 E Mall Plz
Carnegie
Carnegie, PA 15106",Carnegie,10,Alteration World,-80.0876046,4.5,40.4068712,25
YX_cdwb0A62hdQRBiZJgtQ,"301 Noblestown Rd
East Carnegie
Carnegie, PA 15106",Carnegie,3,Greentree Auto Body,-80.0667012,2.5,40.4165426,26
rv7CY8G_XibTx82YhuqQRw,"Raceway Plz
Carnegie, PA 15106",Carnegie,5,Long John Silver's,-80.0937037,3.5,40.3868915,27
e_U_FnpdKVgNb4mUN2cU_Q,"2323 Greentree Rd
Carnegie, PA 15106",Carnegie,8,"Weinberg Lisa, DMD",-80.078657,3,40.39076,28
SQ0j7bgSTazkVQlF5AnqyQ,"214 E Main St
Carnegie
Carnegie, PA 15106",Carnegie,9,Don Don Chinese Restaurant,-80.0849615,2.5,40.4083473,29
L0YSY79uzz_FIInvKmvyIw,"312 2nd Ave
Carnegie
Carnegie, PA 15106",Carnegie,4,West Penn Dental Centers,-80.0904271,4,40.4031063,30
wqu7ILomIOPSduRwoWp4AQ,"2180 Greentree Rd
Pittsburgh, PA 15220",Pittsburgh,9,Denny's,-80.073788,4,40.39114,31
1u2NauOy8xDj7aFQET680A,"100 Roessler Rd
Carnegie, PA 15106",Carnegie,6,Amerifit,-80.060154,3,40.394305,32
P1fJb2WQ1mXoiudj8UE44w,"200 E Main St
Carnegie
Carnegie, PA 15106",Carnegie,64,Papa J's,-80.0851737,3.5,40.4081422,33
8QlnAcjGE6dgfKTVoxrPvQ,"300 Davis Blvd
Etna
Pittsburgh, PA 15275",Pittsburgh,3,Boston Market,-79.958717,2.5,40.495167,34
t_gan0EXAw8csKIeFyazJw,"820 Amity St
Homestead
Homestead, PA 15120",Homestead,3,Homestead Capri Pizza,-79.9105266,3.5,40.4067047,35
3gmBc0qN_LtGbZAjTtHWZg,"270 W Bridge St
Homestead
Homestead, PA 15120",Homestead,20,Starbucks,-79.916958,3.5,40.407091,36
sZ4uYs99km644ZMR1TO76A,"3619 Main St
Homestead, PA 15120",Homestead,3,Randy's Beer Barrel Pub,-79.9036345,2.5,40.3846329,37
yHTLTr-QN-loO_7XoxS8qg,"660 Waterfront Dr E
Homestead
Munhall, PA 15120",Munhall,8,Michaels,-79.9037778,3,40.4140637,38
iQLLIdmJSt6LQHSjpZERLA,"138 W Bridge St
Homestead
Homestead, PA 15120",Homestead,3,Yankee Candle Co.,-79.9163491,4,40.4075854,39
6ilJq_05xRgek_8qUp36-g,"650 E  Waterfront Dr
Homestead
Munhall, PA 15120",Munhall,48,Steak 'n Shake,-79.9044562,2,40.413496,40
57HN9fGRar_GckBmgHgemA,"280 Waterfront Dr E
Homestead
Homestead, PA 15120",Homestead,6,Filene's Basement,-79.9124082,4,40.4116978,41
MKyk4F4HSzHF8v-4cYe3Ww,"171 E Bridge St
Homestead
Homestead, PA 15120",Homestead,30,Sing Sing,-79.9152619,3.5,40.4094353,42
0hrB2iwQZ52VZcZWYywXrA,"101 E 7th Ave
Homestead
Homestead, PA 15120",Homestead,10,Joe Dilorio's Auto Body Shop,-79.912788,4.5,40.40682,43
gClSqcwuLsgyZRCzhJc7Dg,"690 Waterfront Dr E
Homestead
Homestead, PA 15120",Homestead,8,Lowe's Home Improvement,-79.9016982,3,40.4126484,44
1qCuOcks5HRv67OHovAVpg,"122 W 8th Ave
Homestead
Homestead, PA 15120",Homestead,26,Duke's Upper Deck Cafe,-79.912595,3.5,40.405311,45
sbW8qHJgzEIH42B0S-3New,"180 E Waterfront Dr
Homestead
Homestead, PA 15120",Homestead,85,Dave & Buster's,-79.9141865,2.5,40.4092932,46
CgGT6sr4OCF2BHYngOIqlw,"3804 Main St
Homestead, PA 15120",Homestead,3,Paw's In the Family Pet Grooming,-79.904493,5,40.383607,47
W7ysp8GLCBrs0GXIVwAcBQ,"610 William Marks Way
Homestead
Homestead, PA 15120",Homestead,5,Wendy's,-79.9017997,2,40.4097098,48
McikHxxEqZ2X0joaRNKlaw,"171 E Bridge St
Homestead
Homestead, PA 15120",Homestead,124,Rock Bottom,-79.9152619,3.5,40.4094353,49
frIRW4BGhdAWbSsG5ev2ng,"1415 West St
Homestead
Homestead, PA 15120",Homestead,3,Master Muffler & Brakes,-79.9069188,3.5,40.4023107,50
tv8cS4aaA1VDaInYgggb6g,"166 E Bridge St
Homestead
Homestead, PA 15120",Homestead,40,Improv Comedy Club,-79.9148477,3,40.4089836,51
eT5Ck7Gg1dBJobca9VFovw,"420 Waterfront Dr E
Homestead
Homestead, PA 15120",Homestead,31,Giant Eagle,-79.908469,3.5,40.4111498,52
HwwEfnZKLNOUoqfgcwAgcQ,"100 W Bridge St
Homestead
Homestead, PA 15120",Homestead,17,Barnes & Noble Booksellers,-79.918751,3.5,40.4040168,53
EoAY1JSVeJriBzId8lUQwQ,"244 W Bridge St
Homestead
West Homestead, PA 15120",West Homestead,74,Bar Louie,-79.917508,2.5,40.4070709,54
DMy5IG-dNrH4ARk96KngEA,"324 Amity St
Homestead
Homestead, PA 15120",Homestead,9,Men's Wearhouse,-79.91295,2.5,40.40939,55
uLnDFdn011hEroQQMLmxNQ,"3502 Main St
Munhall, PA 15120",Munhall,8,The Pizza Company,-79.9032997,3.5,40.3857182,56
rdATJvFQK4C73NIQ3zoY3w,"520 East Waterfront Drive
Homestead
Homestead, PA 15120",Homestead,5,DSW Designer Shoe Warehouse,-79.90640055,4,40.41158084,57
g10zmpUzmMJOOIjj_JJPvg,"490 Waterfront Dr E
Homestead
Homestead, PA 15120",Homestead,7,Bed Bath & Beyond,-79.90593131,3,40.41170617,58
eznh0XjVtv924K-KYx_ilQ,"245 Waterfront Dr E
Homestead
Homestead, PA 15120",Homestead,43,Eat'n Park,-79.9132525,3,40.4113236,59
LQFWH1AKJlXGmEBlIKsBCw,"580 Waterfront Dr E
Homestead
Homestead, PA 15120",Homestead,6,TJ Maxx,-79.9047005,4,40.4119958,60
LO2CjrNL8DXkvm9uALgRjQ,"460 Waterfront Dr E
Homestead
Homestead, PA 15120",Homestead,9,Marshalls,-79.909169,3,40.4127917,61
usSROUMiAgPcxV3Ym0OxMQ,"185 W Waterfront Dr
Homestead
Pittsburgh/Waterfront, PA 15120",Pittsburgh/Waterfront,99,Mitchell's Fish Market,-79.91808943,3.5,40.40887838,62
qfL7ZFkxqDZOPIaVVfT3Aw,"560 E Waterfront Dr
Homestead
Homestead, PA 15120",Homestead,6,Old Navy,-79.906061,3,40.412712,63
GlYPVYSOVT7zn00Kk_Oz4g,"The Waterfront
350 E Waterfront Dr
Homestead
Homestead, PA 15120",Homestead,7,Dick's Sporting Goods,-79.9075963,3,40.4138973,64
WaHXyBwljbKNPmmJZn5j8Q,"1886 Homeville Rd
West Mifflin, PA 15122",West Mifflin,3,Shop 'n Save,-79.8737336,3,40.3736775,65
